group,tau,mean_car,lo,hi,n_events
all_events,0,0.0,0.0,0.0,14536
all_events,1,-0.0010425376549539668,-0.0014512715767172422,-0.0006322057585134491,14536
all_events,2,-0.001300088752385054,-0.0018370890326676946,-0.0007555436607182425,14536
all_events,3,-0.0020434928875391724,-0.0026863014321788273,-0.0014047476586769852,14536
all_events,4,-0.0019269323708437445,-0.0026368703064128043,-0.0012349390345985783,14536
all_events,5,-0.002748133170441367,-0.003496763300658975,-0.0019998425138482816,14536
all_events,6,-0.002476725006218351,-0.003296815045735436,-0.0016426779922864565,14536
all_events,7,-0.0024667913352779654,-0.0033409287784398017,-0.0015912684494184758,14536
all_events,8,-0.0024469460502742927,-0.003381940726924536,-0.001524748758624345,14536
all_events,9,-0.0018795878692014492,-0.00284879221920396,-0.0009254979968116931,14536
all_events,10,-0.0020334035529188015,-0.0030281644133533328,-0.0010674736240658751,14536
all_events,11,-0.0016326435086966352,-0.0027083919526355318,-0.0006028561990856254,14536
all_events,12,-0.001828121789248139,-0.002955673475122536,-0.0007336862734030389,14536
all_events,13,-0.0020738228532006095,-0.003236993038510615,-0.0009473926734103075,14536
all_events,14,-0.0023084799345042786,-0.0034923263924475207,-0.0011601271332819763,14536
all_events,15,-0.0029543549674436818,-0.0041655505033108345,-0.0017711914865014625,14536
all_events,16,-0.002882964082040111,-0.004214705995587228,-0.0016351864615542309,14536
all_events,17,-0.003025102184357465,-0.004359603638657364,-0.001723841104130063,14536
all_events,18,-0.0033926915203009132,-0.004782779450772296,-0.0020945799427590367,14536
all_events,19,-0.003050257898579674,-0.004430234145004082,-0.0017003550986376896,14536
all_events,20,-0.002696844617859017,-0.004116183265525896,-0.0013866679746132162,14536
all_events,21,-0.001978359267500955,-0.003398352296479717,-0.0006095972808151335,14536
all_events,22,-0.001877507004128946,-0.0033037010924708023,-0.0005035103267101005,14536
all_events,23,-0.002094918368744891,-0.003512901167215891,-0.0006950654581451789,14536
all_events,24,-0.0023677420836919747,-0.00385662981094507,-0.0009614943925059745,14536
all_events,25,-0.002445960690768851,-0.004018726919799014,-0.0009944720885195328,14536
all_events,26,-0.0023893584634850527,-0.0039843260218961835,-0.0008528527708487204,14536
all_events,27,-0.0028084513123813005,-0.004412763449037081,-0.0012519506020434077,14536
