fold,model,train_end,test_start,test_end,n_train,n_test,n,base_rate,roc_auc,pr_auc,brier,log_loss,accuracy,brier_skill_vs_base_rate
0,logistic,2016-08-11,2016-09-09,2018-09-18,5754,1829,1829,0.4494259158009841,0.5067846244173994,0.4603979354734401,0.249237067796549,0.6916405682067978,0.5254237288135594,-0.007253432677818861
0,random_forest,2016-08-11,2016-09-09,2018-09-18,5754,1829,1829,0.4494259158009841,0.5116024809303247,0.45195235126151456,0.2496266263557319,0.6924068476165771,0.519409513395298,-0.008827773924227289
0,lightgbm,2016-08-11,2016-09-09,2018-09-18,5754,1829,1829,0.4494259158009841,0.5242970737682935,0.46557796871704166,0.2521349658843503,0.6978335819392405,0.5237834882449426,-0.018964843914894836
1,logistic,2018-08-21,2018-09-19,2020-03-09,7577,1786,1786,0.46024636058230683,0.5276726130983028,0.48796744577087525,0.2479413162308991,0.6890324724748934,0.541993281075028,0.0019254995557127508
1,random_forest,2018-08-21,2018-09-19,2020-03-09,7577,1786,1786,0.46024636058230683,0.5306773783202592,0.4963855554276575,0.24824268743555247,0.689625928319779,0.5240761478163494,0.0007123458986086906
1,lightgbm,2018-08-21,2018-09-19,2020-03-09,7577,1786,1786,0.46024636058230683,0.548159533977446,0.49435408285580396,0.24867331355083896,0.6906142498943905,0.5352743561030235,-0.0010211164844520226
2,logistic,2020-02-09,2020-03-09,2022-09-29,8994,1841,1841,0.4839760999456817,0.49719652667021086,0.4991238091488915,0.2505259555290455,0.6942147059523078,0.518739815317762,-0.0031341025239990383
2,random_forest,2020-02-09,2020-03-09,2022-09-29,8994,1841,1841,0.4839760999456817,0.5234532459093864,0.5066084291378312,0.24945589396765608,0.692065683764075,0.516567083107007,0.0011505443173353003
2,lightgbm,2020-02-09,2020-03-09,2022-09-29,8994,1841,1841,0.4839760999456817,0.5055537834485203,0.4881036991559957,0.25442067652730194,0.7024029718851303,0.5067897881586094,-0.018729003439223346
3,logistic,2022-08-31,2022-09-29,2024-11-07,11038,1772,1772,0.4373589164785553,0.5034225256414404,0.4436850996640426,0.24883025810851223,0.6909317741408145,0.54627539503386,-0.011192324297535805
3,random_forest,2022-08-31,2022-09-29,2024-11-07,11038,1772,1772,0.4373589164785553,0.5128585757271815,0.4486499150751865,0.2481535704038397,0.689453274233745,0.5490970654627539,-0.008442411894949542
3,lightgbm,2022-08-31,2022-09-29,2024-11-07,11038,1772,1772,0.4373589164785553,0.49188468631701554,0.43727947192384214,0.2516612830230579,0.6966117316468706,0.518058690744921,-0.022696996941629077
4,logistic,2024-10-09,2024-11-07,2026-07-31,12746,1764,1764,0.4608843537414966,0.493635882731067,0.4652367971814848,0.2494177863437831,0.6919988909242633,0.532312925170068,-0.003814626533867438
4,random_forest,2024-10-09,2024-11-07,2026-07-31,12746,1764,1764,0.4608843537414966,0.4884248211567289,0.457712701061986,0.250099203052933,0.6933563061016336,0.518140589569161,-0.006557077541216261
4,lightgbm,2024-10-09,2024-11-07,2026-07-31,12746,1764,1764,0.4608843537414966,0.45687907983180776,0.4156754142158635,0.25734740870347633,0.7081694800193951,0.4767573696145125,-0.03572843277933968
