model,term,p_value,q_value,reject_fdr
ols_extended,crash_z,0.6230715666080473,0.9713479338927884,False
ols_extended,raw_return,0.6874613862960105,0.9713479338927884,False
ols_extended,hl_range,0.5833905101710453,0.9713479338927884,False
ols_extended,avol,0.2471450559862437,0.9119955715713053,False
ols_extended,mom_5,0.891029448606086,0.9773352392925786,False
ols_extended,mom_20,0.7314505390392169,0.9752673853856225,False
ols_extended,mom_60,0.37296716762772664,0.9713479338927884,False
ols_extended,mom_252,0.21295630525582132,0.9119955715713053,False
ols_extended,rv_20,0.9185663689078092,0.9773352392925786,False
ols_extended,rv_60,0.47125304641646115,0.9713479338927884,False
ols_extended,rv_ratio,0.6981563274854417,0.9713479338927884,False
ols_extended,spy_ret_event,0.5500394310186999,0.9713479338927884,False
ols_extended,spy_mom_20,0.2564987545044296,0.9119955715713053,False
ols_extended,vix,0.08069624925527429,0.7640064332351788,False
ols_extended,vix_chg,0.39490583716240246,0.9713479338927884,False
ols_extended,sector_ret_event,0.48121634030263793,0.9713479338927884,False
logit_extended,crash_z,0.9467935130646855,0.9773352392925786,False
logit_extended,raw_return,0.6742291325397878,0.9713479338927884,False
logit_extended,hl_range,0.833744150027537,0.9773352392925786,False
logit_extended,avol,0.8881507838030744,0.9773352392925786,False
logit_extended,mom_5,0.6002460751315063,0.9713479338927884,False
logit_extended,mom_20,0.6620721060427015,0.9713479338927884,False
logit_extended,mom_60,0.8178012650409188,0.9773352392925786,False
logit_extended,mom_252,0.1565334068615048,0.8348448365946922,False
logit_extended,rv_20,0.45453249376826765,0.9713479338927884,False
logit_extended,rv_60,0.1193760051929967,0.7640064332351788,False
logit_extended,rv_ratio,0.047789026139858616,0.7640064332351788,False
logit_extended,spy_ret_event,0.9803994476856512,0.9803994476856512,False
logit_extended,spy_mom_20,0.10664017494285631,0.7640064332351788,False
logit_extended,vix,0.02508218692646583,0.7640064332351788,False
logit_extended,vix_chg,0.5960698325545892,0.9713479338927884,False
logit_extended,sector_ret_event,0.8116518642983029,0.9773352392925786,False
