term,coef,std_coef,se_hc3,ci_lo,ci_hi,t,p_value,se_cluster_date,p_value_cluster,ci_lo_cluster,ci_hi_cluster
const,-0.019198793754254366,,0.025805599299000403,-0.06977683897976722,0.03137925147125849,-0.7439778294549448,0.45688988795900765,0.030077018440469845,0.5232647172370288,-0.07814866665992232,0.03975107915141359
crash_z,-0.001513079914462894,-0.03516865865675969,0.0027592744195101453,-0.006921158400165443,0.0038949985712396547,-0.5483615198851847,0.5834436929696679,0.003078482844076114,0.6230715666080473,-0.007546795415876512,0.004520635586950724
raw_return,0.08485572967237782,0.04203142823421018,0.182654349464916,-0.2731402168984504,0.44285167624320604,0.4645699920147634,0.6422394258237838,0.21092516563036712,0.6874613862960105,-0.3285499983962874,0.498261457741043
hl_range,0.047960283027892354,0.01865033434185675,0.07363175195539207,-0.0963552989232628,0.1922758649790475,0.6513532783648538,0.5148184632137125,0.08744871146084654,0.5833905101710453,-0.12343604192980193,0.21935660798558662
avol,-0.0039737038324642515,-0.02678110763658892,0.0032049829974943366,-0.010255355078616378,0.002307947413687874,-1.2398517669425713,0.21503022682536777,0.003433564188672614,0.2471450559862437,-0.010703365980869066,0.002755958315940563
mom_5,-0.007600274675573199,-0.003662796699980814,0.04817605314885691,-0.1020236037646202,0.08682305441347381,-0.15776042616213223,0.8746455834195042,0.055475767680704065,0.891029448606086,-0.11633078134446428,0.10113023199331789
mom_20,-0.01011950997856581,-0.009074524451169014,0.024768198919114234,-0.058664287821953605,0.038425267864821984,-0.4085686654735453,0.6828562298477587,0.029486041136313028,0.7314505390392169,-0.06791108865240583,0.04767206869527421
mom_60,-0.012803036977374012,-0.020974974554181392,0.011197987106870751,-0.03475068840618456,0.00914461445143654,-1.1433337844726084,0.25290003307829034,0.014370431839655936,0.37296716762772664,-0.04096856582538732,0.015362491870639296
mom_252,0.00509158709972255,0.022813922020534026,0.0034282623750524033,-0.001627683684933907,0.011810857884379009,1.485180112459952,0.13749611874270243,0.004088060497517121,0.21295630525582132,-0.0029208642420319028,0.013104038441477003
rv_20,0.008607071463976402,0.01371018578949826,0.08549220508421078,-0.1589545714599888,0.17616871438794163,0.10067668105528849,0.9198071231254242,0.08418516862435764,0.9185663689078092,-0.15639282707219593,0.17360697000014874
rv_60,0.08710318356981947,0.11971776202086135,0.10707996392448717,-0.12276968918802364,0.29697605632766255,0.8134405389905125,0.4159655246451015,0.12090246356244785,0.47125304641646115,-0.14986129065474452,0.32406765779438346
rv_ratio,0.007962887784972443,0.018763419627545772,0.020084211901372703,-0.03140144419958878,0.04732721976953366,0.3964749935957507,0.6917546518648942,0.02053293877271133,0.6981563274854417,-0.03228093270630782,0.04820670827625271
spy_ret_event,0.1275636442655323,0.029437081606256982,0.12125047404364238,-0.11008291796841543,0.36521020649948,1.0520671797094796,0.29276872874481974,0.21342382831326695,0.5500394310186999,-0.2907393726711308,0.5458666612021954
spy_mom_20,-0.05788459963933108,-0.029727635739428195,0.033037918815892055,-0.1226377306426377,0.0068685313639755274,-1.7520655572132213,0.07976253591126817,0.05101288604558237,0.2564987545044296,-0.1578680190361184,0.04209881975745626
vix,-0.0005638432348889872,-0.06712763450879014,0.00022620332050740286,-0.0010071935962668675,-0.00012049287351110702,-2.492639071894325,0.01267976639139001,0.00032281215553151883,0.08069624925527429,-0.0011965434335025065,6.88569637245321e-05
vix_chg,0.0007615026184830147,0.03830337838150364,0.0004310902228434499,-8.341869237749315e-05,0.0016064239293435228,1.7664576418833648,0.07731910192838075,0.0008950910897031206,0.39490583716240246,-0.0009928436802178124,0.0025158489171838417
sector_ret_event,0.13450883834870647,0.03483995880522848,0.17229467261925255,-0.2031825147131479,0.47220019141056085,0.7806906406558051,0.43498446664212653,0.19096940424026207,0.48121634030263793,-0.23978431611127787,0.5088019928086909
