feature,importance_mean,importance_std
avol,0.0052675838946981725,0.0023452405196417213
sector_ret_event,0.0032917901226366397,0.00349347736574189
excess_vs_sector,0.0019501060724836038,0.002712959655492569
volume,0.0017933225267838546,0.001863214228856965
rv_60,0.0014918242252722647,0.0018982894489813652
log_volume,0.0009824991474341202,0.0004363984138625345
mom_20,0.0009352204934695796,0.003063760531472174
crash_z,0.0007617177984755622,0.003730631531911348
hl_range,0.00043752131414728594,0.0015402206691038445
vix,0.00042268445318418185,0.004479757640071388
abs_decline,-4.246221029367003e-05,0.0015324825832414583
med_volume_60,-0.00016990420259622348,0.0031369390117903344
raw_return,-0.00027326397654446887,0.0013495084385268346
mom_252,-0.0015375527594346757,0.0037483451022309526
rv_20,-0.0019212074104584364,0.0014503244364806357
rv_ratio,-0.002397038828286583,0.0021716803533822545
vix_chg,-0.007845986739832304,0.009792555618597104
mom_60,-0.009834956530211821,0.004499956482235074
spy_mom_20,-0.01380442581348073,0.004878340083528937
mom_5,-0.014108249294695481,0.003626140260877891
spy_ret_event,-0.01523009314005553,0.003641583813312032
