feature,mean_abs_shap
vix_chg,0.08532900032041245
spy_mom_20,0.05159285957797746
vix,0.04167572619373735
sector_ret_event,0.04022070565358193
rv_ratio,0.04006277886954979
mom_60,0.038488958209744684
mom_252,0.037646799185974536
crash_z,0.03664379572995296
mom_5,0.03223444211008801
spy_ret_event,0.02803843961363116
med_volume_60,0.027608840321843083
rv_60,0.027311034765408644
mom_20,0.026863906405567788
avol,0.02580835629378477
hl_range,0.01816247433608665
excess_vs_sector,0.013828674333655009
abs_decline,0.013804176648139039
raw_return,0.011975984504641978
volume,0.011114428938130133
rv_20,0.007737106824785411
log_volume,0.002256593569072726
